# 综合最优代理列表（按综合评分排序）
# 格式: IP:端口 延迟(ms) 下载速度(原始值) 综合评分
############################################################
59.23.175.132:50001 344ms 3181 kB/s 52.22
121.155.66.228:50001 346ms 3189 kB/s 52.17
183.109.195.138:50001 343ms 2657 kB/s 51.84
218.145.117.174:50001 328ms 2066 kB/s 51.81
59.1.203.57:50001 339ms 2217 kB/s 51.6
222.120.119.146:50001 343ms 2336 kB/s 51.58
112.185.201.42:50001 344ms 2210 kB/s 51.45
14.53.126.77:50001 342ms 1924 kB/s 51.28
112.169.242.150:50001 334ms 1597 kB/s 51.26
175.206.102.226:50001 344ms 1660 kB/s 51.01
