============================================================
代理检测报告 - 2025-12-29 12:56:53.766773
检测文件: as4766/iptest_as4766.txt
检测时间: 2025-12-29 12:56:53
============================================================
总计检测: 138
成功: 132
失败: 6
超时: 3
成功率: 95.7%

可用代理 (按平均响应时间排序):
210.121.207.53:50001#324ms (范围: 323ms-326ms)
218.145.117.174:50001#328ms (范围: 326ms-331ms)
210.101.111.224:50001#328ms (范围: 326ms-332ms)
14.47.35.78:50001#329ms (范围: 322ms-338ms)
119.194.243.226:50001#330ms (范围: 327ms-336ms)
211.196.80.94:50001#331ms (范围: 323ms-338ms)
121.137.109.143:50001#332ms (范围: 329ms-338ms)
221.163.102.207:50001#332ms (范围: 328ms-339ms)
175.211.197.232:50001#333ms (范围: 332ms-335ms)
211.217.188.169:50001#333ms (范围: 327ms-341ms)
175.198.21.32:50001#333ms (范围: 324ms-339ms)
175.208.183.84:50001#333ms (范围: 326ms-340ms)
211.105.35.130:50001#333ms (范围: 330ms-339ms)
112.169.242.150:50001#334ms (范围: 325ms-340ms)
221.158.170.74:50001#334ms (范围: 328ms-339ms)
14.36.154.36:50001#334ms (范围: 332ms-336ms)
121.173.115.178:50001#335ms (范围: 329ms-341ms)
220.118.212.192:50001#335ms (范围: 328ms-340ms)
220.87.38.123:50001#335ms (范围: 331ms-337ms)
221.162.120.94:50001#336ms (范围: 330ms-342ms)
121.143.95.1:50001#337ms (范围: 335ms-341ms)
59.1.185.190:50001#337ms (范围: 336ms-339ms)
118.44.220.237:50001#337ms (范围: 336ms-339ms)
175.203.2.185:50001#338ms (范围: 337ms-341ms)
121.186.114.82:50001#338ms (范围: 335ms-344ms)
211.248.80.146:50001#338ms (范围: 337ms-340ms)
59.1.203.57:50001#339ms (范围: 336ms-344ms)
112.167.52.57:50001#339ms (范围: 335ms-343ms)
61.79.110.42:50001#339ms (范围: 339ms-341ms)
121.175.13.244:50001#339ms (范围: 336ms-343ms)
125.131.231.224:50001#339ms (范围: 336ms-341ms)
112.167.75.252:50001#339ms (范围: 334ms-345ms)
121.153.173.117:50001#339ms (范围: 337ms-342ms)
125.138.220.231:50001#340ms (范围: 336ms-344ms)
221.156.220.56:50001#340ms (范围: 336ms-344ms)
121.187.35.13:50001#340ms (范围: 334ms-348ms)
218.149.149.172:50001#340ms (范围: 337ms-343ms)
121.168.35.34:50001#340ms (范围: 339ms-342ms)
222.106.126.224:50001#340ms (范围: 338ms-342ms)
112.187.62.40:50001#340ms (范围: 337ms-345ms)
175.205.109.173:50001#340ms (范围: 335ms-347ms)
121.148.86.173:50001#340ms (范围: 337ms-343ms)
118.33.169.44:50001#341ms (范围: 339ms-344ms)
222.99.169.34:50001#341ms (范围: 341ms-342ms)
121.177.10.111:50001#341ms (范围: 338ms-343ms)
183.96.204.49:50001#341ms (范围: 334ms-353ms)
121.191.210.194:50001#341ms (范围: 338ms-344ms)
118.47.194.165:50001#341ms (范围: 339ms-343ms)
14.53.126.77:50001#342ms (范围: 340ms-344ms)
112.184.246.22:50001#342ms (范围: 337ms-346ms)
211.194.135.143:50001#342ms (范围: 337ms-349ms)
175.208.88.111:50001#342ms (范围: 336ms-350ms)
61.76.198.73:50001#342ms (范围: 337ms-349ms)
221.164.228.44:50001#342ms (范围: 337ms-345ms)
121.153.94.6:50001#342ms (范围: 341ms-344ms)
